MANDT,AGR_NAME,COUNTER,PROFILE,VARIANT,GENERATED,PSTATE
001,SAP_SLD_DATA_SUPPLIER,000001,T_Y3670128,,X,A
001,SAP_SLD_DEVELOPER,000001,T_B0960156,,X,A
001,SAP_SLD_GUEST,000001,T_B0960155,,X,A
001,SAP_SLD_ORGANIZER,000001,T_B0960158,,X,A
001,SAP_SLD_SUPPORT,000001,T_Y3670127,,X,A
001,SAP_SMAP_ADMIN,000001,T_SMAPADMI,,X,A
001,SAP_SM_S_RFCACL,000001,T_C4090054,,X,A
001,SAP_SPNEGO_CFG_ADM,000001,T_Y3670141,,X,A
001,SAP_SPNEGO_CFG_DISPLAY,000001,T_Y3670140,,X,A
001,SAP_SV_FDB_NOTIF_BC_ADMIN,000001,T_AA600008,,X,A
001,SAP_SV_FDB_NOTIF_BC_CREATE,000001,T_AA360037,,X,A
001,SAP_SV_FDB_NOTIF_BC_PROCESS,000001,T_AA360038,,X,A
001,SAP_S_CSMREG,000001,T_YA670120,,X,
001,SAP_S_CSMREG_PI,000001,T_C2340006,,X,
001,SAP_S_SWCM,000001,T_C2340064,,X,A
001,SAP_TAMO_RFC,000001,T_TAMO_RFC,,X,
001,SAP_TEST_JK_EINZEL1,000001,T_BE110235,,X,
001,SAP_TEST_PB_INTEGRATION,000001,T_Y3670126,,X,A
001,SAP_TIM_RFC,000001,T_TIM_RFC_,,X,
001,SAP_TPMO_RFC,000001,T_TPMO_RFC,,X,
001,SAP_TRANSLATOR,000001,T_TRANSLAT,,X,
001,SAP_TRANSLCOORD,000001,T_TRANCOOR,,X,
001,SAP_TRANSLENV_ADM,000001,T_TRAN_ENV,,X,
001,SAP_TRANSLPARTNERCOORD,000001,T_TRAPACOO,,X,
001,SAP_TRANSLSUPERCOORD,000001,T_TRASUPCO,,X,
001,SAP_TRANSLWLU,000001,T_Y3670081,,X,
001,SAP_TRANSL_BILL,000001,T_TRANSLBI,,X,
001,SAP_TRANSL_RFC,000001,T_TRAN_RFC,,X,
001,SAP_TRANSL_ST62,000001,T_TRANST62,,X,
001,SAP_TREX_ADM,000001,T_BE113221,,X,
001,SAP_TWB_ADMINISTRATOR,000001,S_TWB_RALL,,X,A
001,SAP_TWB_COORDINATOR,000001,T_BE110018,,X,A
001,SAP_TWB_TESTER,000001,T_BE110017,,X,A
001,SAP_UMG_ADMIN_ALL,000001,T_YA670500,,X,A
001,SAP_UMG_VOCAB_ALL,000001,T_YA670501,,X,A
001,SAP_WD_CHIPS_DISPLAY,000001,T_Y2190100,,X,A
001,SAP_WPS_USER,000001,T_QN360118,,X,A
001,SAP_XI_ADMINISTRATOR_ABAP,000001,T_BI560002,,X,A
001,SAP_XI_ADMINISTRATOR_J2EE,000001,T_YB250049,,X,A
001,SAP_XI_ALERT_CONSUMER,000001,T_X1940113,,X,A
001,SAP_XI_APPL_SERV_USER,000001,T_YB250030,,X,A
001,SAP_XI_BPE_ADMINISTRATOR_ABAP,000001,T_Y2670002,,X,
001,SAP_XI_BPE_ADMINISTRATOR_J2EE,000001,T_X1990086,,X,A
001,SAP_XI_BPE_CONFIGURATOR_ABAP,000001,T_X1990092,,X,A
001,SAP_XI_BPE_MONITOR_ABAP,000001,T_X1990090,,X,
001,SAP_XI_BPE_MONITOR_J2EE,000001,T_X1990087,,X,A
001,SAP_XI_BPE_SERV_USER,000001,T_YA670222,,X,A
001,SAP_XI_CACHE_SERV_USER,000001,T_LA930159,,X,A
001,SAP_XI_CMS_SERV_USER,000001,T_YA670021,,X,
001,SAP_XI_CONFIGURATOR_ABAP,000001,T_BI560001,,X,A
001,SAP_XI_CONFIGURATOR_EXT_J2EE,000001,T_X1940101,,X,A
