MANDT,PROFN,AKTPS,SUBPROF
001,S_PROG5Z,A,S_DDIC_AEW
001,S_PROG5Z,A,S_DIAL01Z
001,S_PROG5Z,A,S_LDBA01Z
001,S_PROG5Z,A,S_MENU01Z
001,S_PROG5Z,A,S_PROG_AEW
001,S_PROG5Z,A,S_TRAN01Z
001,S_PROG6,A,S_DDIC_AEW
001,S_PROG6,A,S_DIAL02
001,S_PROG6,A,S_LDBA02
001,S_PROG6,A,S_MENU02
001,S_PROG6,A,S_PROG_AEW
001,S_PROG6,A,S_TRAN02
001,S_PROG6Z,A,S_DDIC_AEW
001,S_PROG6Z,A,S_DIAL02Z
001,S_PROG6Z,A,S_LDBA02Z
001,S_PROG6Z,A,S_MENU02Z
001,S_PROG6Z,A,S_PROG_AEW
001,S_PROG6Z,A,S_TRAN02Z
001,S_PROG7,A,S_DDIC_AEW
001,S_PROG7,A,S_DIAL03
001,S_PROG7,A,S_LDBA03
001,S_PROG7,A,S_MENU03
001,S_PROG7,A,S_PROG_AEW
001,S_PROG7,A,S_TRAN03
001,S_PROG7Z,A,S_DDIC_AEW
001,S_PROG7Z,A,S_DIAL03Z
001,S_PROG7Z,A,S_LDBA03Z
001,S_PROG7Z,A,S_MENU03Z
001,S_PROG7Z,A,S_PROG_AEW
001,S_PROG7Z,A,S_TRAN03Z
001,S_PROG8,A,S_DDIC_AEW
001,S_PROG8,A,S_DIAL04
001,S_PROG8,A,S_LDBA04
001,S_PROG8,A,S_MENU04
001,S_PROG8,A,S_PROG_AEW
001,S_PROG8,A,S_TRAN04
001,S_PROG8Z,A,S_DDIC_AEW
001,S_PROG8Z,A,S_DIAL04Z
001,S_PROG8Z,A,S_LDBA04Z
001,S_PROG8Z,A,S_MENU04Z
001,S_PROG8Z,A,S_PROG_AEW
001,S_PROG8Z,A,S_TRAN04Z
001,S_RS_ALL,A,S_RS_ADMWB_A
001,S_RS_ALL,A,S_RS_EXPL_A
001,S_RS_ALL,A,S_RS_PLAN
001,S_UTIL01,A,S_DDIC_AEW
001,S_UTIL01,A,S_DEVC01
001,S_UTIL01,A,S_MSAG01
001,S_UTIL01,A,S_PARA01
001,S_UTIL01,A,S_SUSO01
001,S_UTIL01,A,S_UTIL_AEW
001,S_UTIL01Z,A,S_DDIC_AEW
001,S_UTIL01Z,A,S_DEVC01Z
001,S_UTIL01Z,A,S_MSAG01Z
001,S_UTIL01Z,A,S_PARA01Z
001,S_UTIL01Z,A,S_SUSO01Z
001,S_UTIL01Z,A,S_UTIL_AEW
001,S_UTIL02,A,S_DDIC_AEW
001,S_UTIL02,A,S_DEVC02
001,S_UTIL02,A,S_MSAG02
001,S_UTIL02,A,S_PARA02
001,S_UTIL02,A,S_SUSO02
001,S_UTIL02,A,S_UTIL_AEW
001,S_UTIL02Z,A,S_DDIC_AEW
001,S_UTIL02Z,A,S_DEVC02Z
001,S_UTIL02Z,A,S_MSAG02Z
001,S_UTIL02Z,A,S_PARA02Z
001,S_UTIL02Z,A,S_SUSO02Z
001,S_UTIL02Z,A,S_UTIL_AEW
001,S_UTIL03,A,S_DDIC_AEW
001,S_UTIL03,A,S_DEVC03
001,S_UTIL03,A,S_MSAG03
001,S_UTIL03,A,S_PARA03
001,S_UTIL03,A,S_SUSO03
001,S_UTIL03,A,S_UTIL_AEW
001,S_UTIL03Z,A,S_DDIC_AEW
001,S_UTIL03Z,A,S_DEVC03Z
001,S_UTIL03Z,A,S_MSAG03Z
001,S_UTIL03Z,A,S_PARA03Z
001,S_UTIL03Z,A,S_SUSO03Z
001,S_UTIL03Z,A,S_UTIL_AEW
001,S_UTIL04,A,S_DDIC_AEW
001,S_UTIL04,A,S_DEVC04
001,S_UTIL04,A,S_MSAG04
001,S_UTIL04,A,S_PARA04
001,S_UTIL04,A,S_SUSO04
001,S_UTIL04,A,S_UTIL_AEW
001,S_UTIL04Z,A,S_DDIC_AEW
001,S_UTIL04Z,A,S_DEVC04Z
001,S_UTIL04Z,A,S_MSAG04Z
001,S_UTIL04Z,A,S_PARA04Z
001,S_UTIL04Z,A,S_SUSO04Z
001,S_UTIL04Z,A,S_UTIL_AEW
001,S_UTIL05,A,S_DDIC_AEW
001,S_UTIL05,A,S_SYST01_D
001,S_UTIL05,A,S_UTIL_AEW_D
001,S_UTIL05Z,A,S_DDIC_AEW
001,S_UTIL05Z,A,S_SYST01Z_D
001,S_UTIL05Z,A,S_UTIL_AEW_D
001,S_UTIL06,A,S_DDIC_AEW
001,S_UTIL06,A,S_SYST02_D
001,S_UTIL06,A,S_UTIL_AEW_D
001,S_UTIL06Z,A,S_DDIC_AEW
001,S_UTIL06Z,A,S_SYST02Z_D
001,S_UTIL06Z,A,S_UTIL_AEW_D
001,S_ZENTR,A,S_SCD0
MANDT,PROFN,AKTPS,SUBPROF
001,TEST_COMP_PROF,A,TEST_PROF_1
001,TEST_COMP_PROF,A,TEST_PROF_2
